,PULocationID,DOLocationID,trip_distance,fare_amount,total_amount,duration,prediction
25406,65,25,0.1,3.0,4.8,1.1166666666666667,5.383714272633351
839,95,56,2.6,10.5,11.3,11.566666666666666,9.873656846653324
60093,95,215,5.51,29.56,32.61,18.0,23.415059077463063
51340,78,47,1.65,18.75,21.8,11.0,16.227325336701462
57491,95,196,1.24,12.39,15.44,6.0,12.020470207530016
2565,75,236,1.1,6.0,12.05,5.65,8.981717314829549
32537,75,186,4.72,19.0,23.35,24.366666666666667,16.958530920844062
37313,65,85,3.7,20.5,25.55,29.383333333333333,18.191173477546457
33380,166,116,1.6,7.5,9.3,13.15,7.946645681481207
40110,55,89,4.91,20.5,21.3,26.5,16.711360796798395
7280,244,74,4.16,16.0,17.8,15.116666666666667,13.189671073909265
73364,247,25,15.43,43.81,52.98,41.0,34.23513274686175
72744,188,71,0.73,11.95,15.0,6.0,11.216084595196557
47833,37,66,4.89,20.93,23.98,30.0,17.876893229930545
54304,97,77,5.71,28.03,31.08,32.0,22.3083198398663
60178,242,235,7.85,32.95,36.0,42.0,24.982991876550287
36830,264,75,1.4,7.0,9.35,6.2,7.32737642471739
14462,65,52,1.35,8.5,9.3,11.233333333333333,8.686450718658332
36718,236,170,4.08,13.5,17.55,10.75,12.437221327019346
29327,7,141,3.4,12.5,19.26,12.816666666666666,13.809256138635124
8355,244,151,3.57,12.0,15.96,10.233333333333333,11.361324160311652
5146,74,159,1.8,10.5,12.3,14.383333333333333,10.39421771332201
22345,244,50,6.25,19.5,28.81,11.966666666666667,18.197911284655724
9068,43,237,1.61,9.0,15.69,10.416666666666666,11.352053912250632
45283,63,37,2.59,30.99,34.04,10.0,24.406616094999876
21762,97,66,1.3,7.5,8.3,8.166666666666666,7.881359132505521
60203,51,185,4.04,23.76,26.81,10.0,19.758798066175963
6827,75,262,1.3,7.0,12.55,6.416666666666667,9.480408174924111
50792,215,68,15.47,48.18,57.35,41.0,37.30870734939627
10404,25,239,8.43,33.5,38.05,41.18333333333333,26.91062695879291
76000,89,244,18.99,54.15,62.72,34.0,41.74932077384196
15771,244,116,1.0,6.5,7.3,7.066666666666666,6.55690810398419
49395,226,226,0.77,16.83,19.88,6.0,14.365815259117399
63203,174,167,6.16,23.21,26.26,19.0,18.804688326997557
33837,41,166,0.6,5.0,5.8,5.033333333333333,6.547522466086853
59604,167,248,3.06,31.31,34.36,10.0,24.256389910301664
71570,184,51,2.42,18.96,22.01,6.0,15.87028213062259
17009,42,166,2.52,10.5,11.3,11.133333333333333,10.189140827439171
27560,65,49,1.24,7.5,8.3,9.0,8.021677993720795
52128,74,236,2.1,10.5,16.56,12.8,11.973377107377498
20,7,82,2.7,12.0,13.3,14.716666666666667,11.4776476024045
22554,65,225,3.2,15.0,20.15,19.966666666666665,14.665017685191907
33699,74,113,6.86,23.0,28.05,19.816666666666666,19.82308259540345
24204,244,143,5.55,18.0,25.55,14.6,16.626093579924174
75549,91,155,1.16,11.45,14.5,7.0,11.391441738938854
48983,200,140,14.3,37.2,43.05,36.0,28.948554980801184
61364,215,98,7.95,39.95,43.0,22.0,29.668408880958843
57333,42,60,5.28,26.38,29.43,17.0,21.46294293377268
54586,234,225,6.36,30.39,33.44,39.0,23.317418425785092
59325,242,153,4.44,25.95,29.0,20.0,20.292909874986755
4209,260,82,0.81,5.0,5.8,4.3,5.46673830221804
75281,258,182,14.46,40.45,49.62,36.0,32.05022427891064
35097,74,41,1.34,7.5,8.8,8.116666666666667,8.154439636707567
44757,22,21,2.52,18.95,22.0,13.0,16.607728647245224
61050,33,177,5.04,20.93,23.98,25.0,17.962460780918853
67285,234,157,7.28,36.15,39.2,22.0,27.09522472064492
29671,147,241,8.7,26.0,30.3,21.016666666666666,21.275664205739538
49294,71,225,3.15,21.37,24.42,16.0,18.104270927680368
49344,49,258,6.17,59.65,62.7,43.0,43.60605773890473
68902,218,121,3.52,20.98,21.75,17.0,16.271218012156943
18618,75,74,1.2,5.5,7.3,4.266666666666667,7.023555002289115
62211,130,39,9.61,43.45,46.5,32.0,32.353190877712926
37422,41,74,1.44,9.0,11.76,11.4,9.849328751913122
29799,74,75,0.96,5.5,7.88,5.116666666666666,7.237560395868117
21879,244,170,10.52,30.5,41.46,22.033333333333335,26.156429764094995
44199,196,7,6.74,25.21,28.26,21.0,19.93091013672214
2284,244,41,3.3,15.5,16.3,20.85,12.478519604167293
52225,83,225,5.71,29.06,32.11,27.0,23.146040484911985
10811,243,127,1.5,16.5,20.05,27.666666666666668,14.187436075987106
39897,75,237,1.81,8.0,14.44,6.833333333333333,10.448586088730575
55217,174,32,1.95,13.88,16.93,14.0,12.538019539492671
55389,49,97,1.08,15.45,18.5,8.0,14.20602565706633
33070,75,237,1.3,8.0,12.71,9.95,9.826090038116838
791,116,152,0.85,5.5,11.3,4.783333333333333,8.31688202362469
8917,74,42,0.91,6.0,7.96,5.633333333333334,7.398073736093024
35946,42,236,2.4,18.5,22.05,29.466666666666665,16.524508463967493
38547,97,86,22.64,66.5,67.3,53.583333333333336,47.008482497587416
45183,139,170,18.19,46.29,55.46,25.0,36.47456047415034
18406,75,235,4.65,18.0,18.8,20.716666666666665,15.047648360747901
25990,116,164,6.43,22.0,30.05,23.366666666666667,20.072674444029865
35442,7,223,0.9,6.5,7.3,7.75,7.736202716926131
26356,74,75,0.64,4.5,5.3,3.2333333333333334,6.006068389095801
19957,74,263,3.0,11.5,19.55,12.766666666666667,13.368631971468822
44511,174,47,3.12,23.21,26.26,19.0,18.732536933787493
68488,136,169,2.22,17.59,20.64,9.0,15.258787636557273
24555,74,75,1.46,9.0,9.8,11.416666666666666,8.989426163287508
9482,223,193,2.09,9.5,11.3,10.283333333333333,9.050733979029332
44897,97,225,2.61,19.15,22.2,23.0,16.51016648147972
61689,225,61,1.7,16.73,19.78,11.0,14.204995796159977
26752,41,236,2.07,12.5,17.88,17.4,13.209880182601571
27985,75,74,1.8,11.5,13.3,15.95,11.001367184625085
